trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",25,0,-93.47641028898653,"{0: 15, 1: 7, 2: 0, 3: 2, 4: 1}",0
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,0,-32.38676418446373,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",25,0,-228.46071267039537,"{0: 11, 1: 4, 2: 4, 3: 3, 4: 3}",0
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",25,0,-108.43094339308679,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",30,0,-156.7082052604693,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",20,0,-68.03466937132055,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",20,0,-46.06928095753129,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",20,0,-6.984628890606073,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,2,-65.98922748733045,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",20,0,-64.89131841220257,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",25,17,-64.43126849969013,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",30,0,-107.7535792526424,"{0: 22, 1: 3, 2: 1, 3: 3, 4: 1}",0
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,0,-125.53617955435506,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
116,False,"{'a': 0.002, 'e': 0.794533602503334}",25,0,-68.56029418458493,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",25,4,-42.83666622698858,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 0}",1
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",25,14,-21.206708066833453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.002, 'e': 0.7897806739328027}",20,0,-44.41061777465029,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
120,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,11,-55.098003593042286,"{0: 10, 1: 0, 2: 1, 3: 3, 4: 0}",1
121,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,0,-107.90440004353185,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 1}",0
122,False,"{'a': 0.002, 'e': 0.7850561775518295}",25,0,-65.11737601317408,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
123,False,"{'a': 0.002, 'e': 0.7834876342628625}",25,14,-17.645113684078524,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.002, 'e': 0.7819222249254772}",20,0,-147.023868859441,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
125,False,"{'a': 0.002, 'e': 0.7803599432780343}",20,0,-69.91393694324132,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
